N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	0.625243573289235	1.0	33.1800478	53.0673952
2	1.2319709345072196	1.7875569634484294	36.5736532	29.687107199999996
3	1.8077893829192724	2.3968748818046013	40.0248984	22.140244199999998
4	2.402330052145068	2.9361738640189645	43.418886	18.073655600000002
5	2.1194956219131393	2.4036572677227492	46.7937394	22.0777712
6	2.5162055072315	2.6743907925563883	49.9285566	19.8427976
7	2.9298906147384036	2.9042512696557328	53.5358854	18.2723154
8	3.301280960558759	3.0870316793395913	56.750432	17.190427800000002
9	3.699126202629962	3.264280590689216	60.13667840000001	16.256995600000003
10	4.077311338333513	3.4046018259056634	63.552892	15.5869608
11	4.514107697625701	3.5687005070681694	67.12581700000001	14.8702294
12	4.8668199706059445	3.6843513287726872	70.0990312	14.4034568
13	5.255069457547741	3.786263327469891	73.65384379999999	14.015769799999998
14	5.689529861966988	3.9301202612139314	76.824247	13.502740799999998
15	6.081335295576509	4.029967418616367	80.0802066	13.168194600000001
16	6.542696728033224	4.15605928286563	83.5416074	12.768681
